id,title,location,category,price,poster,date_posted,source,vertical,poster_type,subject_category,instruction_lang,level,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
N/A,Louer une tonnelle - Mont-de-Marsan,France,N/A,50€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location spécifique,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/0/12/0/0/location-vente/Equipement-piscine
N/A,Location tyrolienne (outillage) - Sallebœuf,France,N/A,20€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Pas de mention de télétravail,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/218/2/20089/0/location-Tyrolienne-outillage-Salleboeuf
N/A,Location kit de studio photo - La Chapelle-sur-Erdre,France,N/A,15€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location kit studio photo,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/5234/32/24147/0/location-Kit-de-studio-photo-La-chapelle-sur-erdre
N/A,Louer une débroussailleuse - Melgven,France,N/A,20€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Travail physique requis,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/4930/11/18156/0/location-Debroussailleuse-Melgven
N/A,Location mange debout - La Chapelle-sur-Erdre,France,N/A,10€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Pas de travail à distance indiqué,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/1367/25/24147/0/location-Mange-debout-La-chapelle-sur-erdre
N/A,Location scie circulaire - Langueux,France,N/A,15€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location scie circulaire sur place,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/186/2/14935/0/location-Scie-circulaire-Langueux
N/A,Louer une tondeuse à gazon - Saint-Maur-des-Fossés,France,N/A,15€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location spécifique,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/529/11/66138/0/location-Tondeuse-a-gazon-Saint-maur-des-fosses
N/A,Louer une pompe (outillage) - Abeilhan,France,N/A,N/A,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location spécifique en France,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/156/2/20561/0/location-Pompe-outillage-Abeilhan
N/A,Location vûˋlo ûˋlectrique - ûpinay-sous-Sûˋnart,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,LLM: Pas d'indicateurs de travail à distance,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/2986/51/43593/0/location-Velo-electrique-Epinay-sous-senart
N/A,Location perforateur - Mérignac,France,N/A,15€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Pas de télétravail mentionné,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/127/2/20316/0/location-Perforateur-Merignac
