id,title,location,category,price,poster,date_posted,source,vertical,poster_type,subject_category,instruction_lang,level,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
N/A,Migration Presta vers Shopify avec développement tableaux,France,N/A,N/A,N/A,N/A,codeur,general,unknown,N/A,N/A,N/A,remote,MEDIUM,Yes,NLP Analysis: Strong remote indicators (score: 3 vs 0),33 freelances ont répondu à ce projet 29 propositions de devis en moins de 2h Montant moyen des devis proposés : 16 800 € Estimation du délai : 18 jours,detail_page,No,https://www.codeur.com/projects/481670-migration-presta-vers-shopify-avec-developpement-tableaux
N/A,Promotion jeu gestion en ligne,France,N/A,N/A,N/A,N/A,codeur,general,unknown,N/A,N/A,N/A,remote,MEDIUM,Yes,NLP Analysis: Strong remote indicators (score: 2 vs 0),13 freelances ont répondu à ce projet 10 propositions de devis en moins de 2h Montant moyen des devis proposés : 1 700 € Estimation du délai : 5 jours,detail_page,No,https://www.codeur.com/projects/481452-promotion-jeu-gestion-en-ligne
N/A,Backend simple (Node.js OU Python) • Base de données (PostgreSQL) •,France,N/A,N/A,N/A,N/A,codeur,general,unknown,N/A,N/A,N/A,remote,MEDIUM,Yes,NLP Analysis: Strong remote indicators (score: 2 vs 0),51 freelances ont répondu à ce projet 33 propositions de devis en moins de 2h Montant moyen des devis proposés : 4 050 € Estimation du délai : 17 jours,detail_page,No,https://www.codeur.com/projects/474041-backend-simple-node-js-ou-python-base-de-donnees-postgresql
N/A,Recherche Secrétariat à Béziers,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,remote,MEDIUM,Yes,NLP Analysis: Strong remote indicators (score: 3 vs 0),N/A,listing_page,Yes,https://www.allovoisins.com/v/secretariat
N/A,"Consultant (m/w/d) Datenschutz & Informationssicherheit (Teilzeit, Remote)",Augsburg,N/A,N/A,N/A,N/A,arbeitnow,general,employer,N/A,N/A,N/A,remote,HIGH,Yes,Pre-classified by arbeitnow scraper,"DSEV ist ein innovatives Beratungsunternehmen mit Fokus auf Datenschutz, Informationssicherheit und Compliance. Wir unterstützen unsere Kunden bei der Umsetzung gesetzlicher Anforderungen sowie beim A...",listing_page,No,https://www.arbeitnow.com/jobs/companies/dsev-consulting-akademie-gmbh/consultant-datenschutz-informationssicherheit-teilzeit-remote-augsburg-175849
N/A,Dynamics 365 Consultant & Engineer (m/w/d) mit Karriereambitionen!,Markt Indersdorf,N/A,N/A,N/A,N/A,arbeitnow,general,employer,N/A,N/A,N/A,remote,HIGH,Yes,Pre-classified by arbeitnow scraper,"Wir sind ein schnell wachsendes IT-Unternehmen (ca. 50 MA) und suchen Verstärkung, um anspruchsvolle Projekte im Bereich Microsoft Dynamics 365 bei unseren Kunden umzusetzen und aktiv mitzugestalten. ...",listing_page,No,https://www.arbeitnow.com/jobs/companies/auralis-group/dynamics-365-consultant-engineer-mit-karriereambitionen-markt-indersdorf-368597
N/A,Java Softwareentwickler:in mit Karriereambitionen - jetzt mit uns voll durchstarten!,Markt Indersdorf,N/A,N/A,N/A,N/A,arbeitnow,general,employer,N/A,N/A,N/A,remote,HIGH,Yes,Pre-classified by arbeitnow scraper,"Wir sind ein fast zwei Jahre altes IT Unternehmen, aktuell 50 MA, und suchen nun weiterhin Verstärkung, um Java-Projekte bei unseren Kunden durchzuführen. Aufgaben Du willst: Deine Arbeitszeiten selbs...",listing_page,No,https://www.arbeitnow.com/jobs/companies/auralis-group/java-softwareentwicklerin-mit-karriereambitionen-jetzt-mit-uns-voll-durchstarten-markt-indersdorf-331168
N/A,Software Testautomatisierer (m/w/d) mit Karriereambitionen,Markt Indersdorf,N/A,N/A,N/A,N/A,arbeitnow,general,employer,N/A,N/A,N/A,remote,HIGH,Yes,Pre-classified by arbeitnow scraper,"Wir sind ein fast zwei Jahre altes IT-Unternehmen mit aktuell 70 MA und wachsen weiter 🚀 Dafür suchen wir Verstärkung im Bereich Software Testing & Testautomatisierung, um spannende Projekte bei unser...",listing_page,No,https://www.arbeitnow.com/jobs/companies/auralis-group/software-testautomatisierer-mit-karriereambitionen-markt-indersdorf-8546
N/A,SAP EWM Berater,Frankfurt am Main,N/A,N/A,N/A,N/A,arbeitnow,general,employer,N/A,N/A,N/A,remote,HIGH,Yes,Pre-classified by arbeitnow scraper,"SAP EWM Entwickler (m/w/d) 📍 Deutschlandweit | Remote! | 💰 bis zu 90.000 € Du bist im SAP EWM Umfeld zuhause und möchtest an spannenden Projekten arbeiten, bei denen du wirklich etwas bewegen kannst? ...",listing_page,No,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-ewm-berater-frankfurt-am-main-306747
N/A,Sap Finance Control Consultant,Frankfurt am Main,N/A,N/A,N/A,N/A,arbeitnow,general,employer,N/A,N/A,N/A,remote,HIGH,Yes,Pre-classified by arbeitnow scraper,Wir haben die nächste Möglichkeit für Sie als SAP FICO Consultant zur Verfügung! Wie stehen Sie zu neuen Herausforderungen als SAP FICO Consultant? Haben Sie Interesse an (inter)nationalen Projekten z...,listing_page,No,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-finance-control-consultant-frankfurt-am-main-447309
