id,title,location,category,price,poster,date_posted,source,vertical,poster_type,subject_category,instruction_lang,level,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
N/A,Je recherche un (e) professeur d'anglais en ligne pour ma fille en 5eme,Paris,N/A,N/A,Aude,N/A,voscours,tutoring,student,languages,english,secondary,remote,HIGH,Yes,"LLM: en ligne, parent seeks English tutor for 5eme",Je recherche un (e) professeur d'anglais en ligne pour ma fille en 5eme,listing_page,No,https://www.voscours.fr/annonces/eleves/6822810
N/A,Searching for tutors for france language classes,Nantes,N/A,N/A,Sanchez,11/04,voscours,tutoring,student,languages,english,all_levels,remote,HIGH,Yes,"LLM: student seeks French tutor, no physical constraint",Searching for tutors for france language classes,listing_page,No,https://www.voscours.fr/annonces/eleves/6904347
N/A,Besoin des cours particulier d'anglais niveau terminale,Nice,N/A,N/A,J Lucas,N/A,voscours,tutoring,student,languages,french,secondary,remote,HIGH,Yes,LLM: student seeks English tutoring for terminale level,Besoin des cours particulier d'anglais niveau terminale,listing_page,No,https://www.voscours.fr/annonces/eleves/6722023
N/A,Je cherche des cours de maths pour mon fils qui est en 1ère stmg,La Roche-sur-Yon,N/A,N/A,Christine,N/A,voscours,tutoring,student,math_science,french,secondary,remote,HIGH,Yes,LLM: Parent seeks math tutor for lycée STMG student,Je cherche des cours de maths pour mon fils qui est en 1ère stmg,listing_page,No,https://www.voscours.fr/annonces/eleves/6822283
N/A,Je suis à la recherche d’un(e) enseignant(e) de mathématiques,Paris,N/A,N/A,Gilles,21/03,voscours,tutoring,student,math_science,french,unknown,remote,HIGH,Yes,LLM: Paris location but no physical constraint,Je suis à la recherche d’un(e) enseignant(e) de mathématiques,listing_page,No,https://www.voscours.fr/annonces/eleves/6822423
N/A,Je cherche un ou une professeur d'anglais,Saint-Étienne,N/A,N/A,Joseph DERACHE,N/A,voscours,tutoring,student,languages,english,all_levels,remote,HIGH,Yes,LLM: no location constraint implies online,Je cherche un ou une professeur d'anglais,listing_page,No,https://www.voscours.fr/annonces/eleves/6721730
N/A,Looking for teachers who can teach russian fluently,Mont-Saint-Martin (Meurth...,N/A,N/A,Christopher,11/04,voscours,tutoring,student,languages,other,all_levels,remote,HIGH,Yes,"LLM: Russian lessons, no physical constraint",Looking for teachers who can teach russian fluently,listing_page,No,https://www.voscours.fr/annonces/eleves/6903932
N/A,Recherche de cours en c# pour approfondir mes connaissances,Nice,N/A,N/A,Jonathan,11/04,voscours,tutoring,student,technology,french,unknown,remote,HIGH,Yes,LLM: French learner seeks C# lessons online,Recherche de cours en c# pour approfondir mes connaissances,listing_page,No,https://www.voscours.fr/annonces/eleves/6903927
N/A,Gestion administrative générale en terminale,Mamoudzou,N/A,N/A,Ahmed,21/03,voscours,tutoring,student,other,french,secondary,remote,MEDIUM,Yes,"LLM: no explicit modality, subject or poster info",Gestion administrative générale en terminale,listing_page,No,https://www.voscours.fr/annonces/eleves/6863800
N/A,Recherche de professeur en français homme ou femme pour enseigner ma femme,Paris,N/A,N/A,Jules,21/03,voscours,tutoring,student,languages,french,adult,remote,HIGH,Yes,"LLM: Adult learner seeking French lessons, no location constraint specified",Recherche de professeur en français homme ou femme pour enseigner ma femme,listing_page,No,https://www.voscours.fr/annonces/eleves/6863761
N/A,Cherche professeur en droit de travail et législation,Paris,N/A,N/A,Amina,21/03,voscours,tutoring,student,other,f,university,remote,HIGH,Yes,LLM: No location constraint given,Cherche professeur en droit de travail et législation,listing_page,No,https://www.voscours.fr/annonces/eleves/6863740
N/A,"🚀 devenez tuteur à lyon : flexibilité, rémunération attractive & impact réel | gostudent",Lyon,N/A,N/A,Centre de Cours Particuliers GoStudent - Lyon,10/04,voscours,tutoring,student,other,french,all_levels,remote,HIGH,Yes,"LLM: GoStudent recruiting online tutors, Lyon-based","🚀 devenez tuteur à lyon : flexibilité, rémunération attractive & impact réel | gostudent",listing_page,No,https://www.voscours.fr/offre-emploi-chimie-lyon/-devenez-tuteur-lyon-flexibilite-remuneration-attractive-impact-reel-gostudent-6670014
N/A,"🚀 devenez tuteur à lyon : flexibilité, rémunération attractive & impact réel | gostudent",Lyon,N/A,N/A,Centre de Cours Particuliers GoStudent - Lyon,10/04,voscours,tutoring,student,other,french,all_levels,remote,HIGH,Yes,"LLM: GoStudent recruiting online tutors, Lyon-based","🚀 devenez tuteur à lyon : flexibilité, rémunération attractive & impact réel | gostudent",listing_page,No,https://www.voscours.fr/offre-emploi-anglais-lyon/-devenez-tuteur-lyon-flexibilite-remuneration-attractive-impact-reel-gostudent-6670007
N/A,"🚀 devenez tuteur à lyon : flexibilité, rémunération attractive & impact réel | gostudent",Lyon,N/A,N/A,Centre de Cours Particuliers GoStudent - Lyon,10/04,voscours,tutoring,student,other,french,all_levels,remote,HIGH,Yes,"LLM: GoStudent recruiting online tutors, Lyon-based","🚀 devenez tuteur à lyon : flexibilité, rémunération attractive & impact réel | gostudent",listing_page,No,https://www.voscours.fr/offre-emploi-maths-lyon/-devenez-tuteur-lyon-flexibilite-remuneration-attractive-impact-reel-gostudent-6670010
